"Borophagus,"Vulpes vulpes",11.95,14.1815
"Hesperocyon","Vulpes vulpes",25.615000000000002,43.3
"Otocyon,"Vulpes vulpes",0.00585,1.29985
"Eucyon,"Vulpes vulpes",11.95,11.95
"Vulpes,"Vulpes vulpes",11.95,11.95
"Cormocyon,"Vulpes vulpes",22.615000000000002,25.615000000000002
"Otarocyon,"Vulpes vulpes",25.615000000000002,28.55
"Cynotherium,"Vulpes vulpes",0.06885,1.80585
"Cormocyon","Vulpes vulpes",28.55,28.55
"Aelurodon,"Vulpes vulpes",11.95,14.785
"Carpocyon,"Vulpes vulpes",13.135000000000002,14.785
"Philotrox,"Vulpes vulpes",25.615000000000002,28.55
"Nyctereutes","Vulpes vulpes",1.29985,7.0165
"Protemnocyon,"Vulpes vulpes",33.599999999999994,33.599999999999994
"Tomarctus","Vulpes vulpes",11.95,14.895
"Mesocyon","Vulpes vulpes",25.615000000000002,25.615000000000002
"Cynarctus,"Vulpes vulpes",14.785,14.785
"Ectopocynus,"Vulpes vulpes",25.615000000000002,25.615000000000002
"Canis,"Vulpes vulpes",0.06885,1.6845
"Carpocyon,"Vulpes vulpes",11.95,14.1815
"Canis,"Vulpes vulpes",0.00585,3.35
"Dusicyon,"Vulpes vulpes",0.39635000000000004,0.39635000000000004
"Cynodictis,"Vulpes vulpes",35.55,35.95
"Cynarctoides,"Vulpes vulpes",18.2,18.2
"Canini","Vulpes vulpes",3.35,7.6000000000000005
"Borophagus,"Vulpes vulpes",3.35,3.35
"Leptocyon,"Vulpes vulpes",25.615000000000002,25.615000000000002
"Borophagus,"Vulpes vulpes",7.6000000000000005,14.1815
"Metalopex,"Vulpes vulpes",7.6000000000000005,7.6000000000000005
"Aelurodon,"Vulpes vulpes",18.2,18.2
"Phlaocyon,"Vulpes vulpes",18.2,25.615000000000002
"Ectopocynus,"Vulpes vulpes",25.615000000000002,32.05
"Cynodesmus,"Vulpes vulpes",25.615000000000002,25.615000000000002
"Lycaon","Vulpes vulpes",0.4535,3.0940000000000003
"Dusicyon,"Vulpes vulpes",1.29985,1.29985
